iter	RMSE
0	9.07571182211	8.8809153062	7.836604959
3	7.686439687
4	7.53805716
5	5	8.00424604
6	7.795829352
7	7.6309839568	7.013306844
9	6.878738128
10	6.757644837
111	7.026004287
12	6.883529396
13	6.748822549
14	6.602593226
15	6.472622169
16	6.478116066
17	6.353306413
18	6.233625963
19	6.131215882
20	6.01451828
21	5.903316642
22	5.803385924
23	5.704863902
24	5.61285436
25	5.531330107
26	5.443332823
27	5.359093099
28	5.291637253
29	5.207066853
30	5.135483816
31	5.063026686
32	4.973618816
33	4.898493621334	4.845113145
35	4.783930083
36	4.715989353
37	4.6477238338	4.434258048
39	4.377449234
40	4.323917538
41	4.268077573
42	4.217266609
43	4.167019975
44	4.115069383
45	4.072804865
46	4.026517553
47	3.982192835
48	3.951814666
49	3.910167933
50	3.867367387
51	3.819544123
52	3.778710329
53	3.740211613
54	3.705645115
55	3.674569023
56	3.640459956
57	3.601913298
58	3.572129297
59	3.532537435
60	3.501427945
61	3.468232833
62	3.440026603
63	3.416772938
64	3.388067594
65	3.360360856
66	3.333806659
67	3.303870733
68	3.273440035
69	3.250328825
70	3.22911261
71	3.207747443
72	3.178648353
73	3.153447636
74	3.137598342
75	3.114509562
76	3.091215505
77	3.064764837
78	3.039817783
79	3.007371321
80	2.987266326
81	2.971051429
82	2.950320246
83	2.936265575
84	2.920852968
85	2.905103338
86	2.887998105
87	2.87162652
88	2.854543329
89	2.837217313
90	2.820616064
91	2.805184561
92	2.792399592
93	2.771005291
94	2.75541194
95	2.738294153
96	2.724608754
97	2.705314537
98	2.692045817
99	2.679741967
100	2.66524253
101	2.651988121
102	2.640105103
103	2.626181218
104	2.611409231
105	2.596126998
106	2.584181916
107	2.570023555
108	2.557779412
109	2.544617471
110	2.537054442
111	2.526251533
112	2.514417052
113	2.505677615
114	2.495305547
115	2.485209081
116	2.473736046
117	2.465078423
118	2.456034367
119	2.444098413
120	2.435416363
121	2.421654533
122	2.410588292
123	2.40069652
124	2.393311615
125	2.384364002
126	2.37899412
127	2.363428737
128	2.35808051
129	2.350422431
130	2.342910891
131	2.335009036
132	2.328380758
133	2.318053774
134	2.310140297
135	2.301609276
136	2.294059283
137	2.289487223
138	2.280515226
139	2.274446281
140	2.266631209
141	2.25852695
142	2.250512811
143	2.243122192
144	2.23605896
145	2.229922876
146	2.218840961
147	2.211249413
148	2.205534592
149	2.196523392
150	2.190284253
151	2.182632942
152	2.177468707
153	2.167889323
154	2.162451703
155	2.159227668
156	2.155255716
157	2.149763609
158	2.142791316
159	2.138861889
160	2.133218882
161	2.125298813
162	2.119938786
163	2.111667705
164	2.108320523
165	2.104626489
166	2.098775799
167	2.095528939
168	2.088391006
169	2.081105899
170	2.075479973
171	2.070186532
172	2.062535413
173	2.055894306
174	2.05071071
175	2.047673455
176	2.041272424
177	2.036054528
178	2.030366004
179	2.023198768
180	2.01734403
181	2.01241841
182	2.006252902
183	1.998727056
184	1.993694813
185	1.990274923
186	1.987124183
187	1.982325025
188	1.978687435
189	1.975050365
190	1.968887055
191	1.962284311
192	1.956455622
193	1.950840343
194	1.944006437
195	1.938762491
196	1.932586359
197	1.925426994
198	1.922736781
199	1.918813785
200	1.914135912
201	1.910835369
202	1.905412279
203	1.899047954
204	1.892930406
205	1.887059979
206	1.884810166
207	1.8802208	1.208	1.877342336
209	1.871612125
210	1.867968638
211	1.8627212	1.761650499
213	1.756903845
214	1.752969858
215	1.750461031
216	1.747699711
217	1.743035684
218	1.739024989
219	1.735131068
220	1.730345943
221	1.725358238
222	1.723875442
223	1.7180035
224	1.713224982
225	1.709899201
226	1.707810973
227	1.702123515
228	1.697431346
229	1.693052646
230	1.687911832
231	1.684612277
232	1.679239603
233	1.675946435
234	1.67237709
235	1.667834486
236	1.662333954
237	1.658271093
238	1.653458619
239	1.651838203
240	1.647909825
241	1.644775832
242	1.642586924
243	1.638848569
244	1.635139856
245	1.631245781
246	1.62791137
247	1.626536376
248	1.6232365
249	1.619779899
250	1.617271998
251	1.614625701
252	1.612109764
253	1.606956385
254	1.605305439
255	1.601529544
256	1.597700771
257	1.594489292
258	1.5900214
259	1.587872498
260	1.582836302
261	1.57753261	1.649721291
262	1.646301977
263	1.642031441
264	1265	1.567178236
266	1.563152592
267	1.559037843
268	1.554431381
269	1.55007269	1.614522495
270	1271	1.543510633
272	1.54194494
273	1.537576933
274	1.536477662
275	1.531325011
276	1.52743931
277	1.524792589
278	1.520420148
279	1.516839419
280	1.514490683
281	1.510178663
282	1.508039932
283	1.503389707
284	1.500927684
285	1.498768841
286	1.495163253
287	1.493005992
288	1.489745286
289	1.485128764
290	1.480074395
291	1.476097579
292	1.475239684
293	1.472117342
294	1.470600751
295	1.466681267
296	1.464048376
297	1.460104542
298	1.457108515
299	1.454278447
300	1.450323853
301	1.44829417
302	1.444390847
303	1.438398425
304	1.435782343
305	1.433549819
306	1.430943608
307	1.427890609
308	1.42461849
309	1.42231438
310	1.418797208
311	1.415778929
312	1.414037571
313	1.410631901
314	1.407043705
315	1.402830214
316	1.402474435
317	1.402139951
318	1.399102937
319	1.398359706
320	1.398010652
321	1.394143892
322	1.389192472
323	1.388204298
324	1.386050851
325	1.381693156
326	1.378387215
327	1.374414066
328	1.372689133
329	1.368162832
330	1.367017694
331	1.366224335
332	1.364868399
333	1.364578592
334	1.360612559
335	1.359495168
336	1.355716415
337	1.352455417
338	1.349706986
339	1.34917433
340	1.344154353
341	1.341124279
342	1.336443067
343	1.333546664
344	1.330967326
345	1.327663694
346	1.325814117
347	1.324175144
348	1.31967423
349	1.317054312
350	1.315235537
351	1.311184096
352	1.309386597
353	1.307113434
354	1.304302994
355	1.303707104
356	1.301141867
357	1.298228758
358	1.295666587
359	1.29413315
360	1.293527744
